Location,Tags,Wikipedia,City,Hot Score,Comment,Rating,Link,Activity
Devgad Beach,Beaches,This is very nice beach and calm water Good for family and kids There are boat rides available to nearby Tsunami island which hosts water sports including Parasailing which was very good experience,Sindhudurg,1.0,"""[View] It feels great, it looks super good, it is really good, it looks very good, it looks very good, hehe""",5//5,https://us.trip.com/travel-guide/attraction/sindhudurg/devgad-beach-62038689/,['']
Areopagus,Spas,The Areopagus rips is a prominent rock outcropping located northwest of the Acropolis in Athens Greece Its English name is the Late Latin composite form of the Greek name Areios Pagos translated Hill of Ares Ancient Greek x0081  The name Areopagus also referred in classical times to the Athenian governing council later restricted to the Athenian judicial council or court that tried cases of deliberate homicide wounding and religious matters as well as cases involving arson of olive trees because they convened in this location12The war god Ares was supposed to have been tried by the other gods on the Areopagus for the murder of Poseidons son Halirrhothius a typical example of an aetiological mythThe exact origin of the Areopagus is unclear In preclassical times before the 5th century BC the Areopagus may have been a council of elders for the city of Athens and membership was restricted to those who had held high public office in this case that of Archon3 Conversely it may have also begun almost exclusively as a homicide court and judicial body4 While there is no true consensus homicide trials seem to have been held on the Areopagus hill as early as the 7th century BC and possibly as far back as the mid8th century BC5In 594 BC the Areopagus was heavily restructured by Solon as was the rest of the Athenian state Aristotle suggests that he confirmed its competence over cases of treason eisangelia  and its guardianship of the laws nomophylakia 6 Solons entrusting of the nomophylakia to the Areopagus may imply that the council was invested with maintaining the stability of his reforms after he left Athens7Under the reforms of Cleisthenes enacted in 508507 BC the Boule  or council was expanded from  400 to 500 men and was formed of 50 men from each of ten clans or phylai  There is very little evidence to suggest that Cleisthenes may have altered the composition or the jurisdiction of the Areopagus given that he himself was likely a member of the council8,Mumbai,1.0,"""[View] Itâ€™s really a super nice place here, I really like it, itâ€™s a great feeling, itâ€™s really good.""",5//5,https://us.trip.com/travel-guide/attraction/mumbai/areopagus-61138457/,['']
Zaveri Bazaar,Gardens,Coordinates mwparseroutput geodefaultmwparseroutput geodmsmwparseroutput geodecdisplayinlinemwparseroutput geonondefaultmwparseroutput geomultipunctdisplaynonemwparseroutput longitudemwparseroutput latitudewhitespacenowrap185707N 724951E  18951808N 72830697E  18951808 72830697Zaveri Bazaar is a jewellery market and a major hub for B2B and B2C jewellery industry in Mumbai India Located at Bhuleshwar in South Mumbai just north of Crawford Market Zaveri Bazaar is a muddle of narrow lanes dotted with hundreds of jewellery shops that sell gems and jewels notably Tribhovandas Bhimji Zaveri TBZ Dwarkadas Chandumal Dhirajlal Bhimji Zaveri  UTZ1 65 of all gold trading and dealing in India is estimated to originate from the market2 During the early 19th century a jeweller named Ambalal Zaveri was very famous for his great quality of gold due to his death his great reputation slowly collapsed due to disputes between his sonsThe market houses the headquarters of many jewellery institutions of India including Jagawat Sons of Mankhush Jagawat and Tribhovandas Bhimji Zaveri one of the biggest jewellery retailers of India established in 1864 A variety of gems and precious stones are available in the market as well as ornaments of traditional Indian designs to modern designs made of every possible gem and precious metal Zaveri Bazaar is regarded as being secured because it has CCTVs installed in order to avoid almost any crime private protection involved for every shop the industry is under 24 hours vigilance because it does a huge trade in diamond and also other metal jewellery Zaveri Bazaar is also famous for photo frames clips teasets dinnerware toys and other luxury lifestyle articles crafted out of expensive metals Zaveri Bazaar gets the maximum credit of jewellery and gems export from the countrycitation neededIt has been the target of three attacks in Mumbai since 1993 It was one of the 12 areas bombed during the 1993 Bombay bombings followed by the 25 August 2003 Mumbai bombings and the more recent 13 July 2011 Mumbai bombings23,Mumbai,1.4,"""#camping #pune #pashanlake #pashan Best place near Pune for Camping and night out with friends. Food easily available for veg and non veg. Music Barbeque can be organized""",4.7//5,https://us.trip.com/travel-guide/attraction/mumbai/zaveri-bazaar-10530172/,['']
"ISKCON Pandharpur, Shree Shree Radha Pandharinath Mandir",Other Places of Worship,A typical ISKCON style temple located in the city of Pandarpur near the banks of river Chandraprabha The temple the ghats are beautiful and provide an instant solace,Pandharpur,1.0,"""#jesus#mothermarryme and my frnds always come here to pray and meditation""",4//5,https://us.trip.com/travel-guide/attraction/pandharpur/iskcon-pandharpur-shree-shree-radha-pandharinath-mandir-58288511/,['']
Arthur Seat Point Mahabaleshwar,Observation Decks,At a distance of 13 km from Mahabaleshwar Bus Stand and 7 km from Old Mahabaleshwar Arthur Seat Point is the most popular viewpoint in Mahabaleshwar and among the top places to visit in MahabaleshwarArthur Seat Point is located at a height of 1340 m and is surrounded by the deep Savitri gorge on one side and a lush green plateau on the other side Popularly called as Queen of the Points Arthur Seat Point has been named after Sir Arthur Mallet who was the first man to build a house at this point Arthur Seat is the only point that clearly shows the geological contrast between the Konkan and the Deccan territoriesArthur Seat Point area has 6 points in total Arthurs Seat Point Echo Point Hunter Point Tiger Spring Point Window Point and Malcom Point The barren deep Savitri valley on the left and lush green Jor valley on the right extends a mesmerizing view to the seat Moving step by step deep down one finds the window point right below the seat and the Tiger Spring which is the source of Savitri River Window Point is the first point situated below the Arthur SeatFrom Arthur Seat Point one can get mesmerizing view of the Mahabaleshwar Range including Pratapgad Koleshwar Raireshwar and Chandragad It is one of the most popular viewpoints for its dramatic grand canyon like views Arthur Seat is famous for floating of light objects If one can throw light things like cold drink cap in the valley it comes up again due to air pressureFrom the parking visitors need to do 30 min walk to reach the view point The trek is an easy one with stone steps for most of the way There are lot of vendors throughout the route,Raigad,2.1,"""#malshej #malsgejghat #puneMust visit during rainy season. You will enjoy destination as well as way to it.""",,https://us.trip.com/travel-guide/attraction/raigad/arthur-seat-point-mahabaleshwar-58292338/,['']
Ellora Caves,Mosques,Ellora is a UNESCO World Heritage Site located in the Aurangabad of Maharashtra India It is one of the largest rockcut Hindu temple cave complexes in the world with artwork dating from the period 6001000 CE12 Cave 16 features the largest single monolithic rock excavation in the world the Kailash temple a chariotshaped monument dedicated to the god Shiva The Kailash temple excavation also features sculptures depicting various Hindu deities as well as relief panels summarizing the two major Hindu epicsThere are over 100 caves at the site all excavated from the basalt cliffs in the Charanandri Hills 34 of which are open to public3 These consist of 17 Hindu caves 1329 12 Buddhist caves 112 and 5 Jain caves 3034 caves45 each group representing deities and mythologies prevalent in the 1st millennium CE as well as monasteries of each respective religion4 They were built close to one another and illustrate the religious harmony that existed in ancient India26 All of the Ellora monuments were built during the Rashtrakuta dynasty r 753982 CE which constructed part of the Hindu and Buddhist caves and the Yadava dynasty c11871317 which constructed a number of the Jain caves Funding for the construction of the monuments was provided by royals traders and the wealthy of the region37Although the caves served as temples and a rest stop for pilgrims5 the sites location on an ancient South Asian trade route also made it an important commercial centre in the Deccan region8 It is 29 kilometres 18 miles northwest of Aurangabad and about 300 kilometres 190 miles eastnortheast of Mumbai Today the Ellora Caves along with the nearby Ajanta Caves are a major tourist attraction in the Marathwada region of Maharashtra and a protected monument under the Archaeological Survey of India ,Mumbai,4.1,"""1. Also called the sea mosque, the place where the mosque is located is a small island; 2. There is only a long causeway connected to the land, and the sea is submerged when the tide is high, and the mosque seems to float in the sea, the scenery is very strange; 3. Walking all the way through the long embankment, first of all the small vendors, the closer to the mosque, the more beggars, the more disabled, a little I can not bear to look directly; 4. The sea mosque of tens of thousands of tourists every day, in fact, except for some holy things, there is nothing special inside. 5. Although the sea around the island looks dirty, it still can't stop tourists who go to the sea to play in the water.""",4.4//5,https://us.trip.com/travel-guide/attraction/mumbai/haji-ali-dargah-99163/,"['Haji Ali Mosque is the most famous mosque in the area. The pure white mosque is a typical Muslim-style building, which is very eye-catching from a distance. There is a long causeway between the island where the mosque is located and the land. When the tide is high, it will be submerged by sea water. The mosque seems to float in the sea, and the scenery is very strange.']"
Wet N Joy Waterpark & Amusement Park,Lakes,Nestled between the tranquil mountains of Lonavala and located conveniently along the Old Mumbai Pune Highway Wet N Joy waterpark  amusement park is an international standard park near Pune and MumbaiA perfect escape for family outings where everyone can be a kid again It has Indias largest wave pool with 8 Thunder Waves along with mindboggling rides like MasterBlaster Tornado Free fall Vertical Swing Space Trainer and a range of MultiCuisine Restaurants 5D Theatrethere is so much to do here you might run out of time and energy but the action wont stop Whether you are with friends or family with a special somebody or all by yourself this is one thrilling experience you just cant have enough of,Pune,1.9,"""A beautiful shiva temple, large and magnificent, is one of the few pre-Islamic buildings and a draweic building built around 700 AD. There are also some ancient caves with scriptures and murals.""",4//5,https://us.trip.com/travel-guide/attraction/pune/wet-n-joy-waterpark-and-amusement-park-58346121/,['']
Rajabai Clock Tower,Historical Architectures,The Rajabai Tower is a clock tower in South Mumbai India It is in the confines of the Fort campus of the University of Mumbai It stands at a height of 85m 280ft or 25 storeys The tower is part of The Victorian and Art Deco Ensemble of Mumbai which was added to the list of World Heritage Sites in 20181The Rajabai Clock Tower was designed by Sir George Gilbert Scott an English architect2 He modeled it on Big Ben in LondonThe foundation stone was laid on 1 March 1869 and construction was completed in November 1878 The total cost of construction came to 555000 a large amount of money for the time period A portion of the total cost of construction was donated by Premchand Roychand a wealthy broker who founded the Bombay Stock Exchange on the condition that the tower be named after his mother Rajabai3Premchand Roychands mother was blind and as a staunch follower of Jain religion she was supposed to consume her dinner before the evening Legend says that the evening bell of the tower helped her to know the time without anyones helpcitation needed,Mumbai,3.5,"""A clock tower on the campus of Mumbai University, because the campus is not open to visit, so the clock tower can only be seen outside the wall. The exterior has a British Tudor architectural style, very calm and solemn details, but unfortunately can not be appreciated closer.""",4.4//5,https://us.trip.com/travel-guide/attraction/mumbai/rajabai-clock-tower-24648169/,['']
Waghai Botanical Garden,Gardens,the garden and BioDiversity Conservation center have a wide range of native and exotic plant samples from which you can learn to identify plants learn how they are used for food and medicine and how much we depend on them There is a nature education trail which leads you to and from Vansda Park You might not find people to welcome and orient you but there is plenty of written information about the plants posted around the center The garden is open from 8am6pm and entry is free,India Â· Dang,1.4,"""A famous temple, it is crowded every holiday.""",4//5,https://us.trip.com/travel-guide/attraction/dang/waghai-botanical-garden-23497097/,['']
Bombay Picnic Spot Garden,Gardens,Experience a blend of comfort and luxury at this property offering wellappointed rooms a restaurant a water park and topnotch facilities,Mumbai,,"""A good experience, the props are all artistic conceptions with local characteristics""",4//5,https://us.trip.com/travel-guide/attraction/mumbai/bombay-picnic-spot-garden-23032322/,['']
